rank,symbol,name,last_price,indices
178,CREDITACC,CreditAccess Grameen Ltd.,,Nifty 500|Nifty MidSmallcap 400|Nifty Smallcap 100|Nifty Smallcap 250|Nifty Smallcap250 Momentum Quality 100|Nifty Total Market
179,CRIZAC,Crizac Ltd.,,Nifty Microcap 250|Nifty Total Market
180,CROMPTON,Crompton Greaves Consumer Electricals Ltd.,,Nifty 500|Nifty MidSmallcap 400|Nifty Smallcap 100|Nifty Smallcap 250|Nifty Smallcap 50|Nifty Smallcap250 Momentum Quality 100|Nifty Smallcap250 Quality 50|Nifty Total Market
181,CUMMINSIND,Cummins India Ltd.,5400.0,Nifty 100|Nifty 200|Nifty 500|Nifty Next 50|Nifty Total Market
182,CUPID,Cupid Ltd.,,Nifty Microcap 250|Nifty Total Market
183,CYIENT,Cyient Ltd.,,Nifty 500|Nifty MidSmallcap 400|Nifty Smallcap 250|Nifty Smallcap250 Momentum Quality 100|Nifty Smallcap250 Quality 50|Nifty Total Market
184,DCBBANK,DCB Bank Ltd.,,Nifty Microcap 250|Nifty Total Market
185,DCMSHRIRAM,DCM Shriram Ltd.,,Nifty 500|Nifty MidSmallcap 400|Nifty Smallcap 250|Nifty Total Market
186,DLF,DLF Ltd.,665.0,Nifty 100|Nifty 200|Nifty 500|Nifty Next 50|Nifty Total Market
187,DOMS,DOMS Industries Ltd.,,Nifty 500|Nifty MidSmallcap 400|Nifty Smallcap 250|Nifty Total Market
188,DABUR,Dabur India Ltd.,405.25,Nifty 200|Nifty 500|Nifty MidSmallcap 400|Nifty Midcap 100|Nifty Midcap 150|Nifty Midcap 50|Nifty Total Market
189,DALBHARAT,Dalmia Bharat Ltd.,,Nifty 500|Nifty MidSmallcap 400|Nifty Midcap 150|Nifty Total Market
190,DATAPATTNS,Data Patterns (India) Ltd.,,Nifty 500|Nifty MidSmallcap 400|Nifty Smallcap 100|Nifty Smallcap 250|Nifty Smallcap250 Momentum Quality 100|Nifty Total Market
191,DATAMATICS,Datamatics Global Services Ltd.,,Nifty Microcap 250|Nifty Total Market
192,DEEPAKFERT,Deepak Fertilisers & Petrochemicals Corp. Ltd.,,Nifty 500|Nifty MidSmallcap 400|Nifty Smallcap 100|Nifty Smallcap 250|Nifty Total Market
193,DEEPAKNTR,Deepak Nitrite Ltd.,,Nifty 500|Nifty MidSmallcap 400|Nifty Smallcap 250|Nifty Total Market
