rank,symbol,name,last_price,indices
108,CASTROLIND,Castrol India Ltd.,,Nifty 500|Nifty Smallcap 100|Nifty Smallcap 250|Nifty Smallcap 50
109,CEATLTD,Ceat Ltd.,,Nifty 500|Nifty Smallcap 250
110,CEMPRO,Cemindia Projects Ltd.,,Nifty 500|Nifty Smallcap 250
111,CENTRALBK,Central Bank of India,,Nifty 500|Nifty Smallcap 250
112,CDSL,Central Depository Services (India) Ltd.,,Nifty 500|Nifty Smallcap 100|Nifty Smallcap 250|Nifty Smallcap 50
113,CHALET,Chalet Hotels Ltd.,,Nifty 500|Nifty Smallcap 250
114,CHAMBLFERT,Chambal Fertilizers & Chemicals Ltd.,,Nifty 500|Nifty Smallcap 100|Nifty Smallcap 250
115,CHENNPETRO,Chennai Petroleum Corporation Ltd.,,Nifty 500|Nifty Smallcap 250
116,CHOICEIN,Choice International Ltd.,,Nifty 500|Nifty Smallcap 250
117,CHOLAHLDNG,Cholamandalam Financial Holdings Ltd.,,Nifty 500|Nifty Smallcap 100|Nifty Smallcap 250|Nifty Smallcap 50
118,CHOLAFIN,Cholamandalam Investment and Finance Company Ltd.,1894.4,Nifty 100|Nifty 200|Nifty 500|Nifty Next 50
119,CIPLA,Cipla Ltd.,1450.0,Nifty 100|Nifty 200|Nifty 50|Nifty 500
120,CUB,City Union Bank Ltd.,,Nifty 500|Nifty Smallcap 100|Nifty Smallcap 250|Nifty Smallcap 50
121,CLEAN,Clean Science and Technology Ltd.,,Nifty 500|Nifty Smallcap 250
122,COALINDIA,Coal India Ltd.,407.1,Nifty 100|Nifty 200|Nifty 50|Nifty 500
123,COCHINSHIP,Cochin Shipyard Ltd.,1496.5,Nifty 200|Nifty 500|Nifty Midcap 100|Nifty Midcap 150
124,COFORGE,Coforge Ltd.,1812.0,Nifty 200|Nifty 500|Nifty Midcap 100|Nifty Midcap 150|Nifty Midcap 50
125,COHANCE,Cohance Lifesciences Ltd.,,Nifty 500|Nifty Smallcap 100|Nifty Smallcap 250|Nifty Smallcap 50
126,COLPAL,Colgate Palmolive (India) Ltd.,1981.0,Nifty 200|Nifty 500|Nifty Midcap 100|Nifty Midcap 150|Nifty Midcap 50
127,CAMS,Computer Age Management Services Ltd.,,Nifty 500|Nifty Smallcap 100|Nifty Smallcap 250|Nifty Smallcap 50
128,CONCORDBIO,Concord Biotech Ltd.,,Nifty 500|Nifty Smallcap 250
129,CONCOR,Container Corporation of India Ltd.,527.0,Nifty 200|Nifty 500|Nifty Midcap 100|Nifty Midcap 150
130,COROMANDEL,Coromandel International Ltd.,2095.3,Nifty 200|Nifty 500|Nifty Midcap 100|Nifty Midcap 150
131,CRAFTSMAN,Craftsman Automation Ltd.,,Nifty 500|Nifty Smallcap 250
132,CREDITACC,CreditAccess Grameen Ltd.,,Nifty 500|Nifty Smallcap 100|Nifty Smallcap 250
133,CROMPTON,Crompton Greaves Consumer Electricals Ltd.,,Nifty 500|Nifty Smallcap 100|Nifty Smallcap 250|Nifty Smallcap 50
134,CUMMINSIND,Cummins India Ltd.,5400.0,Nifty 100|Nifty 200|Nifty 500|Nifty Next 50
135,CYIENT,Cyient Ltd.,,Nifty 500|Nifty Smallcap 250
136,DCMSHRIRAM,DCM Shriram Ltd.,,Nifty 500|Nifty Smallcap 250
137,DLF,DLF Ltd.,665.0,Nifty 100|Nifty 200|Nifty 500|Nifty Next 50
138,DOMS,DOMS Industries Ltd.,,Nifty 500|Nifty Smallcap 250
139,DABUR,Dabur India Ltd.,405.25,Nifty 200|Nifty 500|Nifty Midcap 100|Nifty Midcap 150|Nifty Midcap 50
140,DALBHARAT,Dalmia Bharat Ltd.,,Nifty 500|Nifty Midcap 150
141,DATAPATTNS,Data Patterns (India) Ltd.,,Nifty 500|Nifty Smallcap 100|Nifty Smallcap 250
142,DEEPAKFERT,Deepak Fertilisers & Petrochemicals Corp. Ltd.,,Nifty 500|Nifty Smallcap 100|Nifty Smallcap 250
